data,obiekt,band,max,min,mean,max-min,max_after,min_after,mean_after,max-min_after
2020-04-07,lisc,b1,75,43,57.88095238095238,32,75,43,57.88095238095238,32
2020-04-07,lisc,b2,198,81,131.29761904761904,117,181.0,87.0,130.9375,94.0
2020-04-07,lisc,b3,386,203,288.8452380952381,183,375.0,212.0,288.6,163.0
2020-04-07,lisc,b4,330,137,226.71428571428572,193,314.0,155.0,226.3625,159.0
2020-04-07,lisc,b5,757,459,626.3333333333334,298,730.0,528.0,626.425,202.0
2020-04-07,lisc,b6,2269,1297,1769.845238095238,972,2172.0,1406.0,1769.9875,766.0
2020-04-07,lisc,b7,2754,1573,2176.4523809523807,1181,2703.0,1630.0,2177.5,1073.0
2020-04-07,lisc,b8,3245,1602,2392.809523809524,1643,3166.0,1837.0,2390.9125,1329.0
2020-04-07,lisc,b9,3084,2137,2588.654761904762,947,3061.0,2161.0,2587.85,900.0
2020-04-07,lisc,b10,1740,1370,1503.392857142857,370,1662.0,1383.0,1500.8,279.0
2020-04-07,lisc,b11,804,615,693.9642857142857,189,791.0,620.0,693.3375,171.0
2020-04-07,lisc,b12,3321,1991,2549.1785714285716,1330,3016.0,2059.0,2547.3375,957.0
2020-05-14,trw,b1,201,154,167.73076923076923,47,201,154,167.73076923076923,47
2020-05-14,trw,b2,298,216,256.9871794871795,82,298,216,256.9871794871795,82
2020-05-14,trw,b3,584,452,531.1666666666666,132,578.0,487.0,531.5131578947369,91.0
2020-05-14,trw,b4,293,209,242.75641025641025,84,293,209,242.75641025641025,84
2020-05-14,trw,b5,973,836,903.025641025641,137,973.0,836.0,902.9868421052631,137.0
2020-05-14,trw,b6,3617,3281,3479.8205128205127,336,3589.0,3293.0,3480.6315789473683,296.0
2020-05-14,trw,b7,4842,4279,4554.948717948718,563,4842.0,4279.0,4554.8026315789475,563.0
2020-05-14,trw,b8,5228,4480,4956.423076923077,748,5196.0,4548.0,4959.118421052632,648.0
2020-05-14,trw,b9,5063,4534,4897.01282051282,529,5063.0,4534.0,4899.605263157895,529.0
2020-05-14,trw,b10,1859,1619,1727.2948717948718,240,1859.0,1640.0,1726.9868421052631,219.0
2020-05-14,trw,b11,821,661,727.7179487179487,160,821.0,676.0,727.3684210526316,145.0
2020-05-14,trw,b12,5125,4547,4855.782051282052,578,5125.0,4584.0,4856.3026315789475,541.0
2020-05-14,ws,b1,150,81,97.04716981132076,69,150,81,97.04716981132076,69
